Critério / Pergunta,Frequência Likert 1 / 2 / 3 / 4 / 5,Média,Mediana,Desvio-padrão
Compreensíveis,QP1 → 0 / 1 / 1 / 3 / 6,"4,27",5,"1,01"
,QP2 → 0 / 1 / 0 / 1 / 9,"4,64",5,"0,92"
,QP3 → 0 / 0 / 2 / 0 / 9,"4,64",5,"0,81"
Completos,QP1 → 0 / 0 / 3 / 2 / 6,"4,27",5,"0,9"
,QP2 → 0 / 0 / 2 / 5 / 4,"4,18",4,"0,75"
,QP3 → 0 / 0 / 1 / 3 / 7,"4,55",5,"0,69"
Coerentes,QP1 → 0 / 0 / 2 / 4 / 5,"4,27",4,"0,79"
,QP2 → 0 / 0 / 1 / 5 / 5,"4,36",4,"0,67"
,QP3 → 0 / 0 / 1 / 1 / 9,"4,73",5,"0,65"
Úteis,QP1 → 0 / 0 / 2 / 3 / 6,"4,36",5,"0,81"
,QP2 → 0 / 0 / 2 / 3 / 6,"4,36",5,"0,81"
,QP3 → 0 / 0 / 2 / 1 / 8,"4,55",5,"0,82"
Fáceis de usar,QP1 → 0 / 2 / 3 / 4 / 2,"3,55",4,"1,04"
,QP2 → 0 / 2 / 2 / 3 / 4,"3,82",4,"1,17"
,QP3 → 0 / 0 / 3 / 2 / 6,"4,27",5,"0,9"
